0,0,顾客,用户发起转人工,"""用户发起转人工"""
0,1,顾客,壶类---收货后疑问解答,"""用户发起转人工""；""壶类---收货后疑问解答"""
0,4,顾客,78b191fb9008a1acfdbd83ef674c831e。jpg,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg"""
0,5,顾客,烧水居然从盖子缝漏水,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水"""
0,7,顾客,盖子玻璃和不锈钢缝渗水,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水""；""* 可以提供产品问题现象图片，告诉我们机器的具体使用情况吗，我们这边更好地为您处理。""；""盖子玻璃和不锈钢缝渗水"""
0,8,顾客,？？？,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水""；""* 可以提供产品问题现象图片，告诉我们机器的具体使用情况吗，我们这边更好地为您处理。""；""盖子玻璃和不锈钢缝渗水""；""？？？"""
0,11,顾客,我用过这么多，这个渗水居然正常？？,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水""；""* 可以提供产品问题现象图片，告诉我们机器的具体使用情况吗，我们这边更好地为您处理。""；""盖子玻璃和不锈钢缝渗水""；""？？？""；""会的。水蒸气这个位置出来""；""这个没有胶圈的""；""我用过这么多，这个渗水居然正常？？"""
0,12,顾客,那要盖子干什么,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水""；""* 可以提供产品问题现象图片，告诉我们机器的具体使用情况吗，我们这边更好地为您处理。""；""盖子玻璃和不锈钢缝渗水""；""？？？""；""会的。水蒸气这个位置出来""；""这个没有胶圈的""；""我用过这么多，这个渗水居然正常？？""；""那要盖子干什么"""
0,15,顾客,家用的锅盖怎么不渗水,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水""；""* 可以提供产品问题现象图片，告诉我们机器的具体使用情况吗，我们这边更好地为您处理。""；""盖子玻璃和不锈钢缝渗水""；""？？？""；""会的。水蒸气这个位置出来""；""这个没有胶圈的""；""我用过这么多，这个渗水居然正常？？""；""那要盖子干什么""；""正常的呢，没有胶圈的，水蒸气上盖""；""盖子只是不锈钢的，没有密封能力""；""家用的锅盖怎么不渗水"""
0,17,顾客,服了,"""用户发起转人工""；""壶类---收货后疑问解答""；""您好在的，#E-s57#E-s57我是本次服务导购客服多多，欢迎小主光临！""；""* 您好，现在机器是出现了什么问题可以详细的说明一下吗？#E-s31""；""78b191fb9008a1acfdbd83ef674c831e。jpg""；""烧水居然从盖子缝漏水""；""* 可以提供产品问题现象图片，告诉我们机器的具体使用情况吗，我们这边更好地为您处理。""；""盖子玻璃和不锈钢缝渗水""；""？？？""；""会的。水蒸气这个位置出来""；""这个没有胶圈的""；""我用过这么多，这个渗水居然正常？？""；""那要盖子干什么""；""正常的呢，没有胶圈的，水蒸气上盖""；""盖子只是不锈钢的，没有密封能力""；""家用的锅盖怎么不渗水""；""这个不清楚的哦，机器在加热中，水蒸气是会向上的哈""；""服了"""
0,0,顾客,亲在吗,"""亲在吗"""
0,1,顾客,电热类-收货后疑问解答,"""亲在吗""；""电热类-收货后疑问解答"""
