0,8,我 叫 陈静露,"""晚上 好 ， 忙 什么 呢 ？"";""发工资 了 ， 想着 换 部手机 。"";""想换 什么 手机 呀 ？"";""在 小米 苹果 之间 犹豫 ， 你 有 什么 更好 的 建议 吗 ？"";""买 小米 吧 ， 国产 的 其实 真的 很 不错 。"";""行 ， 考虑 考虑 。"";""聊 了 这么久 ， 还 不 知道 你 叫 什么 名字 呢 ？"";""我 叫 陈静露"""
0,10,今年 36 啦 .,"""最近 咋样 呀 。"";""最近 挺 好 的 呀 ， 刚发 了 奖金 ， 不 知道 咋 花呢"";""可以 出去 好好 的 吃 一顿 呀 。"";""嗯 ， 那 是 必须 的 。"";""对 了 ， 你 叫 啥 名字 呀"";""我 叫 莫丽菲"";""听到 这个 名字 就 知道 你 是 女孩 吧 。"";""你 可 真 聪明 呀 ， 不过 不能 算 女孩 哈 。"";""那 您 方便 说 一下 年纪 吗 ？"";""今年 36 啦 ."""
0,1,你 知道 『 你好吗 』 音乐 主唱 是 谁 吗,"""你 知道 『 你好吗 』 音乐 主唱 是 谁 吗"""
0,14,这首 好久 都 没 听 过 了 呢 ， 曾经 是 多么 的 迷恋,"""晚上 好 啊 ， 金琪振"";""晚上 好"";""最近 怎么样 啊 ？"";""很 好 ， 生活 快活"";""那 我们 来 聊聊天 吧 ， 你 最 喜欢 哪 首歌 呀 ？"";""我 最 喜欢 《 当爱已成往事 》 这首 了"";""那 你 一定 也 喜欢 张国荣 吧 ， 那位 天皇巨星"";""对 啊 ， 特别 喜欢 呢"";""说 起来 张国荣 是 一位 真正 的 艺术家 呢"";""不管 是 唱歌 还是 电影 他 都 做到 了 最好 ， 无人 能 及"";""看 你 这么 喜欢 他 ， 那 推荐 你 一首 他 的 《 沉默是金 》 ， 是 一首 传唱 度 很 高 的 粤语 名曲 呢"";""这首 听 过 了 呢"";""这首 《 月亮代表我的心 》 呢 ？ 很 感人 的 一首歌 哦 ， 有 的 人 听 了 之后 还 泪流满面 呢"";""这首 好久 都 没 听 过 了 呢 ， 曾经 是 多么 的 迷恋"""
0,17,好 的 ， 再见 。,"""嗨 ， 今天天气 怎么样 ？"";""今日 多云 ~ 晴 ， 东南风 ， 最高 气温 : - 1 ℃ ， 最低气温 : - 10 ℃"";""棒棒 哒 ！"";""今天 适合 吃 水煮肉片 哦 ~"";""可以 啊 ， 我 挺 爱 吃 牛肉 的 ， 这 道菜 很 不错"";""这 等 美食 不可 错过 的 哦"";""有 道理 ， 今天 就 吃 它 了 。"";""『 金手勺 』 这家 的 水煮肉片 不错 哦 ~ ， 推荐 这家 店 给 你"";""这家 店 的 人均 价格 大概 是 多少 ?"";""人均 价格 64 快 左右"";""评分 怎么样 ？"";""评分 有 4 分 哦 ~ 相当 不错"";""地址 在 哪 ?"";""在 通州区 云景 东路 52 号 （ 速 8 隔壁 汉丽轩 楼上 ）"";""你 帮 我 预定 吧 ， 定 两份 ， 中午 12 点 去取 。"";""好 的 ， 已 下单"";""好 的 ， 再见 。"""
0,20,先不聊 啦 ， 感谢 你 给 我 推荐 这些 ， 我要 去 忙 了 。,"""晚上 好 啊 周玲姗 ， 最近 怎么样 啊 ？"";""晚上 好 ， 最近 还 不错 ， 工作 挺 顺利 的 。"";""那 还 蛮 好 的 ， 是不是 有 什么 好事 啊 。"";""是 啊 ， 工作 上 职位 要 晋升 ， 稍微 有点 忙 。"";""再 忙 也 要 休息 休息 喽 ， 看看 电影 放松 一下 吧 ， 给 你 推荐 『 李小龙如何改变了世界 』 以 外国人 的 视角 看 李小龙 的 影响"";""兴趣 不是 很大 ， 暂时 不想 看 。"";""那 你 知道 『 李小龙如何改变了世界 』 主演 是 成龙 大哥 吗 ， 是 很 出色 的 演员"";""是 啊 ， 我 很 喜欢 他 的 。"";""是 吗 ， 你 很 有 眼光 啊 ， 成龙 不仅 是 世界 十大 杰出青年 也 获得 过 很多 电影 大奖 ， 比如 金像奖 最佳 男主角 很多 的 。"";""他 很 优秀 的 ， 所以 他 是 我 一直 喜欢 的 明星 。"";""其实 成龙 不仅 戏演 得 好 ， 歌 也 唱 得 不错 ， 给 你 推荐 他 唱 的 『 我奋斗 我 幸福 』 吧 。 这 首歌 是 真的 好听"";""原来 听过 这 首歌 ， 挺不错 的 ， 但是 暂时 不想 听 。"";""那 你 可以 试试 他 的 另 一首 『 醉拳 ( 粤 ) 』 是 电影 《 醉拳 Ⅱ 》 粤语 主题曲"";""这 首歌 一响 起来 就 联想 到 成龙 大哥 打 醉拳 的 样子 。"";""哈哈 ， 我 颠颠倒倒 好比 浪涛 。"";""对 对 对 ， 就是 这个 感觉 。"";""那要 我 播放 成龙 的 『 醉拳 ( 粤 ) 』 吗"";""好 的 ， 放给 我 听 吧 。"";""好 ， 现在 为 你 播放 『 醉拳 ( 粤 ) 』 。"";""先不聊 啦 ， 感谢 你 给 我 推荐 这些 ， 我要 去 忙 了 。"""
1,7,嘻嘻 ， 是 啊 ， 他 可是 湖南卫视 的 当家 主持人,"""『 思念的距离 』 音乐 主唱 是 谁 ?"";""是 何炅"";""你好 聪明"";""必须 的 。 何 老师 是 我 挺 喜欢 的 一位 艺人 ， 你 喜欢 他 吗 ？"";""喜欢 啊"";""那 是 英雄所见略同 了 ！ 他 是 一个 特别 聪明 的 人 ， 智商 情商 都 高 ， 还是 第三届 中国 影视 网络 影响力 颁布 盛 最具 网络 影响力 的 十大 电视 主持人"";""嘻嘻 ， 是 啊 ， 他 可是 湖南卫视 的 当家 主持人"""
0,11,哇 哦 ， 那要 看看 了,"""电影 『 亲爱的 』 主演 是 谁 ?"";""是 黄渤 呢 !"";""不错"";""嘻嘻 ， 你 了解 黄渤 吗 ？ 他 是 位 可靠 的 男人 ！"";""还好 啦 ， 但是 我 喜欢 他 ， 喜欢 他 的 老实"";""嗯 呢 ， 现在 时尚 的 黄渤 先生 ， 越来越 受到 大家 的 欢迎 ， 继续 加油 ！"";""是 啊 ， 他 是 实力派 ， 演技 很 不错 哦"";""对 的 ， 你 没事 可以 看 一下 他演 的 这部 《 杀生 》 ， 挺 好 的 一部 电影 ！"";""悬疑片 吗 ？"";""这是 一部 惊悚 喜剧片"";""哇 哦 ， 那要 看看 了"""
0,3,知道 啦 ！ 你 啥 都 知道 呢 ， 真 聪明 。,"""你 知道 吴亦凡 的 血型 么 ？"";""吴亦凡 的 血型 是 O型 哦 。"";""知道 啦 ！ 你 啥 都 知道 呢 ， 真 聪明 。"""
0,14,谢谢 夸奖 了 ， 不早了 ， 我要 睡觉 啦 ， 有 时间 再聊 哈 。,"""晚上 好 呀 ！"";""晚上 好 。"";""最近 学习 生活 怎么样 呢 ？"";""学习 压力 大 啊 。"";""那 就 多 放松 放松 吧 ， 对 了 ， 你 叫 什么 呢 ？"";""任立林 哦 。"";""名字 很 不错 哦 ， 是 男士 还是 女士 呢 ？"";""当然 是 男士 了 。"";""那 你 今年 多大 了 呢 ？"";""我 才 17 岁 呢 。"";""哇 ， 好 小 啊 ， 那 你 有 什么 爱好 呢 ？"";""平时 喜欢 追 明星 ， 听听 音乐"";""爱好 还 蛮 不错 的 嘛 。"";""谢谢 夸奖 了 ， 不早了 ， 我要 睡觉 啦 ， 有 时间 再聊 哈 。"""
0,3,哦 哦 ， 对 对 对 ， 还是 你 知道 的 多,"""《 公转自转 》 是 谁 唱 的 ？"";""王力宏 唱 的"";""哦 哦 ， 对 对 对 ， 还是 你 知道 的 多"""
1,5,是 啊 ， 他 可是 我 最 喜欢 的 明星 了 ， 我 可 喜欢 他 呢 。,"""在 吗 ， 知道 张国荣 的 血型 是 什么 呢 ？"";""O型 哦"";""嗯 ， 你 可 真 聪明 呢 ！"";""他 可是 国民 偶像 ， 曾 3 次 入围 戛纳 国际 电影节 最佳 男演员 奖 哦"";""是 啊 ， 他 可是 我 最 喜欢 的 明星 了 ， 我 可 喜欢 他 呢 。"""
